PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
YLABEL[closing stock prices], XHIGHEST[Mondays], YUNIT[£], YHIGHESTAPPROX[91], YUNIT[£], YLEASTAPPROX[30], XLEAST[Fridays], GRSECONDTHIRDFOURTH[Tuesday to Thursday], YUNIT[£], GRYSECONDTHIRDFOURTH[60]	closing stock prices are highest on Mondays at over £ 91 compared to only £ 30 on Fridays . Tuesday to Thursday they level out to an average of £ 60 across the week .
PLOTTITLE[what students at Lagos State University chose to study], YLEAST[15], YUNIT[%], T1AX[choose], XEND[to], XLEAST[STEM], YTHIRD[24], YUNIT[%], XTHIRD[Literature], YSECOND[30], YUNIT[%], XSECOND[Philosophy], YHIGHESTAPPROX[32], YUNIT[%], XHIGHEST[Medicine]	This graph shows what students at Lagos State University chose to study . It shows that 15 % choose to study STEM , 24 % decide on Literature , 30 % go for Philosophy and 32 % Medicine .
PLOTTITLE[annual median female salary in Najaf], YMAG[thousands], YUNIT[pounds], XSECOND[2000], YSECONDAPPROX[22], XHIGHEST[2005], YHIGHESTAPPROX[25], XTHIRD[2010], YTHIRDAPPROX[19], XLEAST[2015], YLEAST[16]	the chart shows the annual median female salary in Najaf in thousands of pounds . \\n In 2000 it was 22 , in 2005 it was 25 , in 2010 it was 19 and in 2015 it was 16
PLOTTITLE[money spent on higher education in the year 2010], XLABEL[continents], GRHIGHESTSECOND[Europe and Africa], YLABEL[expenditure], XSECOND[Europe], YSECONDAPPROX[250], YMAG[million], YUNIT[pounds], XHIGHEST[Africa], YHIGHESTAPPROX[300], YMAG[million], YUNIT[pounds], GRTHIRDLEAST[North America and Asia], XLEAST[North America], YLEASTAPPROX[150], YMAG[million], XTHIRD[Asia], YLEASTAPPROX[same amount]	Here we have a bar chart representing money spent on higher education in the year 2010 across various continents . It visually shows Europe and Africa having the highest expenditure over the year with Europe spending just over 250 million pounds and Africa nearly hitting the 300 million pounds mark . North America and Asia come in last according to this graph , with North America reaching just under 150 million and Asia just above the same amount .
PLOTTITLE[Median Salary of Software Engineers by degree level], YLABEL[salary], YHIGHESTAPPROX[62], YMAG[k], XHIGHEST[PhD], YSECONDAPPROX[52], YMAG[k], XSECOND[Masters], YTHIRDAPPROX[42], YMAG[k], XTHIRD[Bachelor], XLABEL[degree], YLEASTAPPROX[32], YMAG[k], XLEAST[no degree]	This chart shows the Median Salary of Software Engineers by degree level . The largest salary of 62 k are those with a PhD , followed by 52 k for those with a Masters , 42 k for those with a Bachelor degree and the smallest 32 k for those with no degree .
XHIGHEST[STEM], XLABEL[subjects], YHIGHEST[50], YUNIT[%], T1AY[students], T1AY[studying], GRSECONDTHIRD[Medicine and Literature], GRYSECONDTHIRD[20], YUNIT[%], T1AB[choosing], T1AY[study], XLEAST[Philosophy], YLEAST[10], YUNIT[%], T1AY[students], T1AB[choosing to study]	The table shows that STEM subjects are the most popular , with 50 % of students studying them . Medicine and Literature are joint 2nd most popular with 20 % choosing to study each . Philosophy brings up the rear , with 10 % of students choosing to study it .
PLOTTITLE[what causes obesity in Kiribati], XLABEL[cause], XHIGHEST[genetic], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[35], YUNIT[%], XLABEL[cause], COUNT[3], XLEAST[fast food], YLEASTAPPROX[24], YUNIT[%]	Graph above shows what causes obesity in Kiribati . The highest cause was genetic at 40 % , lack of exercise came in at 35 % and the lowest cause out of 3 was fast food at 24 %
YLABEL[number of fatal injuries], T1AB[Pula Steel Factory], GRHIGHESTSECOND[from 2012 to 2013], YSECONDAPPROX[25], YUNIT[fatal injuries], XSECOND[2012], YHIGHESTAPPROX[30], XHIGHEST[2013], XHIGHEST[2013], YLABEL[number of fatal injuries], YHIGHESTAPPROX[30], XHIGHEST[2013], YFOURTH[25], XFOURTH[2016], XLEAST[2015], YUNIT[number of fatal injuries], INTERVAL[4], XLABEL[year period], YLEASTAPPROX[20], YUNIT[fatal injuries]	There was an increase in the number of fatal injuries at the Pula Steel Factory from 2012 to 2013 . Increasing from just over 25 fatal injuries in 2012 to over 30 in 2013 . \\n \\n However from 2013 there has been a slight decline in the number of fatal injuries . From just over 30 in 2013 to 25 in 2016 . \\n \\n 2015 saw the lowest number of fatal injuries over a 4 year period with just over 20 fatal injuries .
PLOTTITLE[what students in lagos state university choose to study], YLEAST[15], YUNIT[%], T1AX[choose], T1AY[study], XLEAST[STEM subjects], YTHIRDAPPROX[25], YUNIT[%], T1AX[choose], T1AY[study], XTHIRD[Literature], YSECOND[30], YUNIT[%], XSECOND[Philosophy], YSECOND[30], YUNIT[%], T1AX[choose], XHIGHEST[medicine]	Here we see a bar chart showing what students in lagos state university choose to study . \\n 15 % choose to study STEM subjects , Just under 25 % choose to study Literature , 30 % Philosophy and just over 30 % choose medicine .
PLOTTITLE[Akef Inc closing stock prices for the week], YUNIT[£], YTHIRDAPPROX[52], XTHIRD[Monday], YUNIT[£], YSECOND[62], XSECOND[Tuesday], YUNIT[£], YHIGHESTAPPROX[74], XHIGHEST[Wednesday], YUNIT[£], YFOURTHAPPROX[22], XFOURTH[Thursday], YUNIT[£], YLEASTAPPROX[9], XLEAST[Friday]	This graph shows the Akef Inc closing stock prices for the week . It shows that it was approximately £ 52 on Monday , rising to around £ 62 on Tuesday , and rising again to around £ 74 on Wednesday . This dipped to £ 22 on Thursday and decreased again to £ 9 on Friday .
PLOTTITLE[average time spent on social media by various age groups], YLABEL[time], T1AY[social media], XLABEL[group aged], XHIGHEST[45-54], YHIGHEST[150], YUNIT[minutes], YLABEL[time], XLABEL[group aged], XLEAST[35-44], YLEASTAPPROX[65], YUNIT[minutes], T1AY[day], XFOURTH[25-34], XLABEL[age group]	The graph shows average time spent on social media by various age groups . The highest time spent on social media was by the group aged 45-54 at 150 minutes and the lowest time was by the group aged 35-44 with only 65 minutes a day just less than the 25-34 age group .
YHIGHEST[60], YUNIT[%], T1AY[women represented], XHIGHEST[Law Firms], BARSREST[any other sector]	There are 60 % of women represented in Law Firms , which is more than any other sector .
YLABEL[number of fatal injuries], XLABEL[year], T1AB[Pula steel factory], XLABEL[years], XSECOND[2012], XEND[-], XFOURTH[2016], YLABEL[number of fatalities], XHIGHEST[2013], YHIGHEST[32], YUNIT[fatalities], YLABEL[number of fatalities], XLEAST[2015], YLEAST[22], YUNIT[fatalities], XLABEL[year]	The graph details the number of fatal injuries per year , at the Pula steel factory . Covering the years 2012 - 2016 the graph shows that the highest number of fatalities occurred in 2013 , with 32 fatalities . The lowest number of fatalities occurred in 2015 , with 22 fatalities that year .
T1AY[Students], T1AB[Lagos State University], T0AY[enrolled], XLEAST[STEM], XLABEL[courses], XTHIRD[Literature], XSECOND[Philosophy], XHIGHEST[Medicine], BARSREST[latter], XLABEL[subjects], OTHEROPERATION[half], T1AY[students], XLEAST[STEM]	Students at Lagos State University were less likely to be enrolled in STEM courses than in Literature , Philosophy and Medicine . The latter subjects were studied by at least half as many students than STEM was .
YLABEL[gender pay gap], XHIGHEST[UK], YHIGHESTAPPROX[14], YUNIT[%], XSECOND[Spain], YSECOND[10], YUNIT[%], XLEAST[Germany], YLABEL[gap], YLEAST[5], YUNIT[%]	This graph shows that the gender pay gap is largest in the UK at over 14 % , the next highest is Spain at 10 % . Germany has the lowest gap at 5 %
PLOTTITLE[representation of women in various sectors in Benoni], YTHIRD[50], YUNIT[%], XTHIRD[financial groups], T1AY[women], T1AY[women], YSECONDAPPROX[60], YUNIT[%], XSECOND[tech sector], XHIGHEST[insurance sector], YHIGHEST[65], YUNIT[%], XLEAST[law firms], YLEAST[35], YUNIT[%]	This graph shows the representation of women in various sectors in Benoni . Almost 50 % of financial groups consisted of women , and women make up over 60 % of the tech sector . The insurance sector is even higher at 65 % , and law firms come in the smallest at 35 % .
PLOTTITLE[what students at lagos university choose to study], YLEAST[15], YUNIT[%], XLEAST[stem], YTHIRD[24], YUNIT[%], XTHIRD[literature], YSECOND[30], YUNIT[%], XSECOND[philosophy], YHIGHEST[31], YUNIT[%], XHIGHEST[medicine]	The chart shows what students at lagos university choose to study . \\n 15 % do stem , 24 % do literature , 30 % do philosophy and 31 % do medicine
XHIGHEST[Stem], XLABEL[subject], T1AY[students], T1AY[study], YHIGHEST[50], YUNIT[%], XLABEL[choices], BARSREST[Literature, medicine and philosophy]	Stem is the most popular subject for students to study and account for 50 % of choices . Literature, medicine and philosophy are significantly lower .
PLOTTITLE[how young people spend their evenings in Zarqa], YLABEL[percentage], XLEAST[watching Tv], YLEAST[12], YUNIT[%], YLABEL[percentage], XHIGHEST[reading a book], YHIGHEST[38], YUNIT[%], XSECOND[spending time with family], YSECOND[32], YUNIT[%], YLABEL[percentage], XTHIRD[going out], YTHIRD[18], YUNIT[%]	Graph above shows how young people spend their evenings in Zarqa . The lowest percentage recorded was for watching Tv at 12 % , the highest percentage was recorded for reading a book at 38 % . The second highest was for spending time with family at 32 % . The second lowest percentage was for going out at 18 % .
PLOTTITLE[how women are represented within different departments across a university], YLABEL[percentage], YHIGHEST[70], YUNIT[%], XHIGHEST[Literature], XSECOND[arts], YSECOND[60], YUNIT[%], YTHIRD[30], YUNIT[%], XTHIRD[engineering], YFOURTH[20], YUNIT[%], XFOURTH[computer science]	The graph shows how women are represented within different departments across a university . The highest percentage is 70 % in Literature . This is followed by the arts at 60 % . 30 % is for engineering and then lastly at 20 % , computer science .
PLOTTITLE[how young people in Zarqa spend their evenings], YLEAST[12], YUNIT[%], XLEAST[watch TV], YSECOND[32], YUNIT[%], T1AX[evenings], XSECOND[with family], YHIGHEST[38], YUNIT[%], XHIGHEST[read a book], YTHIRD[18], YUNIT[%], XTHIRD[go out], T1AX[evening]	This chart represents how young people in Zarqa spend their evenings . \\n Around 12 % watch TV . \\n 32 % spend their evenings with family . \\n 38 % read a book and 18 % go out in the evening .
PLOTTITLE[representation of women in different work sectors], XHIGHEST[Law firms], YHIGHEST[60], YUNIT[%], YLABEL[female representation], XSECOND[Financial Groups], YSECOND[40], YUNIT[%], XTHIRD[Insurance], YTHIRDAPPROX[35], YUNIT[%], XLEAST[Tech], YLEAST[20], YUNIT[%]	This graph shows the representation of women in different work sectors . Law firms have 60 % female representation followed by Financial Groups with 40 % , Insurance with 35 % and Tech with 20 % .
YLABEL[percentage], PLOTTITLE[women represented in various employment sectors], XHIGHEST[Law], XSECOND[finance industry], XTHIRD[insurance], XLEAST[tech]	The graph shows the percentage of women represented in various employment sectors . The largest is in Law , followed by the finance industry , then insurance and lastly tech .
PLOTTITLE[causes of obesity in Kiribati], XLEAST[Fast food], XLABEL[cause], YLEASTAPPROX[24], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[35], YUNIT[%], XHIGHEST[genetics], XLABEL[factor], YHIGHESTAPPROX[40], YUNIT[%]	Bar chart showing the causes of obesity in Kiribati . \\n \\n Fast food is the lowest cause at 24 % , then lack of exercise at 35 % , with genetics as the main factor at 40 % .
XHIGHEST[Monday], YLABEL[closing stock price], T1AB[Akef Inc], YUNIT[£], YHIGHESTAPPROX[90], XSECOND[Tuesday], YUNIT[£], YSECONDAPPROX[68], XTHIRD[Wednesday], YUNIT[£], YTHIRDAPPROX[62], XFOURTH[Thursday], YUNIT[£], YFOURTHAPPROX[60], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[30]	On Monday the closing stock price for Akef Inc was £ 90 , on Tuesday it was £ 68 , on Wednesday £ 62 , Thursday £ 60 and on Friday it closed at £ 30 .
PLOTTITLE[Akef Inc closing stock prices for the week], XHIGHEST[Monday], YUNIT[£], YHIGHESTAPPROX[92], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[30]	This chart shows the Akef Inc closing stock prices for the week . \\n They were highest on Monday at £ 92 . \\n They subsequently fell , ending on Friday at around £ 30 .
PLOTTITLE[different causes of obesity], YHIGHEST[60], YUNIT[%], XHIGHEST[fast food], YSECOND[third], XSECOND[genetic factors], YLEAST[10], YUNIT[%], YLABEL[obesity], XLEAST[lack of exercise]	This is a graph showing different causes of obesity . It shows 60 % of it ' s caused by fast food , a third of it is due to genetic factors , and just under 10 % of obesity is due to lack of exercise .
PLOTTITLE[closing stock prices on each day of a week (Mon-Fri inclusive) at the Akef Inc company], YUNIT[pounds], XHIGHEST[Monday], YLABEL[stock prices], YUNIT[£], YHIGHESTAPPROX[92], YUNIT[£], YSECONDAPPROX[70], XSECOND[Tuesday], XTHIRD[Wednesday], YUNIT[£], YTHIRDAPPROX[62], YUNIT[£], YFOURTHAPPROX[60], XFOURTH[Thursday], XLEAST[Friday], YLABEL[closing stock prices], YUNIT[£], YLEASTAPPROX[32]	The graph shows the closing stock prices on each day of a week (Mon-Fri inclusive) at the Akef Inc company , in pounds . On Monday , stock prices were at their highest , at £ 92 , falling to £ 70 on Tuesday . There was a smaller decrease on Wednesday to £ 62 , and a marginal decrease to £ 60 on Thursday . By Friday , closing stock prices had fallen to £ 32 .
T1AY[median], YLABEL[salary], T1AB[software engineer], XLABEL[degree], XHIGHEST[PhD], YUNIT[$], YHIGHESTAPPROX[60], YMAG[,000], YUNIT[$], ADDHIGHESTSECOND[10], YMAG[,000], T1AY[per year], XSECOND[masters], XLABEL[degree], YUNIT[$], ADDSECONDTHIRD[10], YMAG[,000], T1AY[per year], XTHIRD[bachelor], XLABEL[degree], XLEAST[no degree], YUNIT[$], YLEAST[35], YMAG[,000], T1AY[per year]	This graph shows that the median salary a software engineer increases as the level of their degree rises . Those with a PhD earn over $ 60 ,000 , about $ 10 ,000 per year more than those with a masters degree , who in turn earn about $ 10 ,000 per year more than those with a bachelor degree . Those with no degree earn the least at about $ 35 ,000 per year .
T1AY[median], YLABEL[salary], T1AB[women], XLABEL[year], XHIGHEST[2015], YLABEL[salary], YUNIT[$], YHIGHESTAPPROX[56], YMAG[,000], XSECOND[2010], YUNIT[$], YSECOND[50], YMAG[,000], XTHIRD[2005], YUNIT[$], YTHIRDAPPROX[44], YMAG[,000], XLEAST[2000], YUNIT[$], YLEAST[40], YMAG[,000], T1AY[median], YLABEL[salary]	chart shows median salary of women per year showing in 2015 salary was over $ 56 ,000 , followed by 2010 with $ 50 ,000 , 2005 with $ 44 ,000 and 2000 $ 40 ,000 . as a rebut the graph shows an increase in median salary as time goes on
PLOTTITLE[popularity of courses at Lagos State University], GRHIGHESTSECOND[Medicine and Philosophy], XLABEL[subjects], GRYHIGHESTSECOND[60], YUNIT[%], T1AY[students], T1AX[choosing], T1AY[study], GRHIGHESTSECOND[these areas], YLEAST[15], YUNIT[%], T1AY[students], T1AX[chose], XLEAST[STEM subjects]	This chart represents the popularity of courses at Lagos State University . \\n \\n Medicine and Philosophy are the most popular subjects , with just over 60 % of the students choosing to study in one of these areas . \\n \\n Only 15 % of students chose to study STEM subjects .
